symbol,open,high,low,close,MA5,MA50,ADX,RSI,RSIMA100
NSE:HDFCAMC,2063.5,2066.05,2062.8,2065.0,13010.0,2057.79,2048.57,18.37,65.83,60.08
NSE:HAL,3682.0,3683.25,3681.0,3682.0,5644.0,3685.4,3684.9,20.41,31.7,45.34
NSE:PAGEIND,37997.5,38023.55,37997.5,38023.55,3.0,38017.46,38015.16,29.59,53.3,55.97
NSE:ITC,448.35,448.5,448.35,448.4,33151.0,447.89,446.28,19.39,64.71,49.62
NSE:INDIGO,2570.65,2574.0,2569.3,2572.4,2840.0,2571.72,2547.23,30.61,61.85,60.29
NSE:HDFCLIFE,658.35,659.85,658.1,659.2,73112.0,659.4,661.41,11.22,34.57,57.06
NSE:VEDL,279.8,279.8,279.55,279.65,26795.0,279.73,279.79,19.11,41.67,46.06
NSE:BOSCHLTD,18520.0,18528.65,18519.4,18519.95,82.0,18524.03,18560.06,36.73,22.53,46.46
NSE:SIEMENS,3684.1,3684.45,3682.3,3683.0,586.0,3687.84,3704.12,43.88,18.86,40.56
NSE:SBICARD,866.25,867.55,866.25,866.75,14882.0,865.71,864.07,17.35,37.04,53.32
NSE:BERGEPAINT,677.45,677.9,677.1,677.1,1170.0,678.04,677.76,13.34,56.0,44.7
NSE:BAJAJFINSV,1529.05,1529.05,1527.85,1528.0,3343.0,1527.31,1524.06,18.37,36.7,54.62
NSE:ICICIPRULI,574.6,575.15,574.05,575.15,8077.0,575.28,575.37,14.29,48.15,54.44
NSE:SHREECEM,23963.7,23974.95,23963.7,23965.0,125.0,23938.6,23967.27,30.61,24.64,45.76
NSE:KOTAKBANK,1837.6,1839.4,1836.0,1839.0,25338.0,1837.62,1836.52,19.39,60.0,53.17
NSE:BAJFINANCE,7113.3,7114.0,7110.0,7114.0,1184.0,7111.0,7052.79,28.34,52.0,60.27
NSE:AMBUJACEM,439.4,439.45,438.8,439.05,15021.0,439.44,436.88,27.55,33.73,52.61
NSE:INDUSTOWER,165.85,166.5,165.85,166.1,256103.0,164.89,163.23,11.3,59.56,47.7
NSE:WIPRO,381.85,381.95,381.8,381.95,16015.0,381.99,382.44,26.32,41.94,48.87
NSE:HCLTECH,1170.8,1171.7,1170.4,1171.25,3910.0,1170.99,1170.31,15.31,62.36,49.17
NSE:MARUTI,9491.45,9503.75,9491.45,9501.2,1150.0,9494.37,9469.6,15.31,49.87,49.54
NSE:ULTRACEMCO,8219.8,8220.0,8215.05,8219.9,1553.0,8219.6,8209.59,13.27,55.66,50.79
NSE:GRASIM,1745.8,1747.0,1744.85,1746.6,2993.0,1747.28,1737.34,28.57,29.53,59.63
NSE:INDUSINDBK,1330.5,1333.9,1329.4,1333.9,41171.0,1330.69,1318.38,7.14,83.54,51.45
NSE:INFY,1290.15,1290.85,1290.05,1290.8,21884.0,1289.55,1282.13,36.73,88.77,46.25
NSE:AXISBANK,972.85,974.85,972.85,974.5,51737.0,973.1,970.99,22.45,78.33,57.01
NSE:DABUR,570.0,570.0,569.85,570.0,25087.0,570.93,570.56,14.29,50.0,54.58
NSE:JSWSTEEL,779.6,780.4,779.35,780.0,22574.0,780.59,767.66,67.35,57.09,62.18
NSE:IOC,89.45,89.6,89.4,89.6,59826.0,89.41,89.49,46.22,40.0,42.73
NSE:HDFC,2767.75,2770.0,2767.0,2769.45,26835.0,2767.22,2762.33,15.31,60.12,57.57
NSE:ICICIBANK,938.15,939.95,938.0,939.95,154184.0,938.26,934.81,20.41,61.02,53.39
NSE:HDFCBANK,1669.25,1670.45,1668.25,1670.25,153103.0,1669.24,1663.02,8.16,76.55,58.42
NSE:CIPLA,1009.8,1010.45,1007.35,1008.5,60284.0,1009.42,1008.78,18.63,59.44,50.62
NSE:ACC,1818.0,1819.1,1816.6,1817.75,6005.0,1816.28,1799.36,15.31,51.58,48.45
NSE:POWERGRID,251.25,251.4,251.2,251.3,46589.0,251.12,249.72,33.36,57.38,53.07
NSE:DMART,3875.5,3877.5,3875.0,3877.0,300.0,3876.45,3871.26,17.53,43.37,48.42
NSE:HINDUNILVR,2656.1,2657.1,2656.0,2656.6,8576.0,2655.78,2653.7,21.43,57.69,51.14
NSE:PIDILITIND,2626.8,2627.0,2622.0,2622.95,13972.0,2625.73,2623.69,9.18,51.99,41.36
NSE:LTIM,5157.4,5158.25,5148.1,5149.95,1195.0,5150.94,5123.02,20.41,31.89,50.6
NSE:CANBK,297.65,298.0,297.6,298.0,16425.0,297.8,296.63,6.12,60.71,52.06
NSE:ASIANPAINT,3343.0,3345.0,3342.9,3344.1,3587.0,3342.57,3327.24,26.53,70.9,51.45
NSE:NTPC,188.4,188.4,187.9,188.2,104832.0,187.94,186.34,71.36,74.44,55.49
NSE:MUTHOOTFIN,1238.4,1238.95,1237.75,1238.0,1083.0,1236.21,1238.6,18.37,41.75,49.75
NSE:TORNTPHARM,1884.15,1888.85,1884.15,1888.8,524.0,1886.53,1879.49,25.55,72.69,45.6
NSE:ONGC,158.95,159.1,158.9,159.0,73280.0,158.76,158.0,53.06,82.76,53.82
NSE:RELIANCE,2522.95,2523.25,2522.5,2523.0,19496.0,2522.78,2504.68,19.39,67.8,51.91
NSE:BANKBARODA,190.85,191.0,190.75,191.0,76818.0,190.79,191.08,8.16,48.15,43.1
