"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 20-May-2022","30 D % CHNG 
 21-Apr-2023"
"NIFTY 50","18,368.35","18,376.75","18,333.15","18,321.15","18,373.80","52.65","0.29","29,454,737","29,199,932,581.72","18,887.60","15,183.40","14.32","3.11"
"RELIANCE","2,458.00","2,482.00","2,450.75","2,439.95","2,481.00","41.05","1.68","1,039,108","2,561,349,264.60","2,817.35","2,180.00","-6.59","2.69"
"TECHM","1,099.00","1,112.50","1,099.00","1,098.10","1,111.60","13.50","1.23","349,863","387,557,239.62","1,197.00","943.70","3.58","10.14"
"MARUTI","9,333.00","9,398.80","9,311.25","9,281.85","9,386.90","105.05","1.13","62,701","586,531,488.42","9,769.00","7,555.00","19.19","9.60"
"UPL","676.00","684.70","676.00","675.80","682.80","7.00","1.04","432,264","294,354,493.44","807.00","607.50","-11.54","-5.44"
"WIPRO","395.15","398.25","395.00","394.10","398.15","4.05","1.03","524,849","208,281,077.16","488.00","352.00","-11.41","4.91"
"TATACONSUM","784.00","789.00","781.15","780.30","788.00","7.70","0.99","158,965","124,997,358.80","861.15","686.60","8.95","6.24"
"ULTRACEMCO","7,670.00","7,699.00","7,633.90","7,621.75","7,683.00","61.25","0.80","20,150","154,594,830.00","7,920.00","5,157.05","31.59","2.45"
"BRITANNIA","4,582.00","4,600.00","4,563.15","4,563.30","4,599.45","36.15","0.79","39,612","181,690,341.00","4,705.45","3,270.95","29.77","3.65"
"BAJAJFINSV","1,431.00","1,444.35","1,431.00","1,427.35","1,438.00","10.65","0.75","257,447","370,350,381.85","1,844.00","1,072.72","-88.49","6.06"
"HINDUNILVR","2,603.75","2,620.60","2,603.10","2,597.25","2,616.50","19.25","0.74","78,845","206,024,350.35","2,741.60","2,100.00","12.99","4.29"
"SBIN","581.25","586.45","580.55","581.25","585.40","4.15","0.71","2,313,208","1,349,386,754.72","629.55","430.70","28.00","3.46"
"NTPC","175.00","177.25","174.90","174.50","175.70","1.20","0.69","1,414,573","249,332,636.98","182.95","134.95","14.31","1.99"
"ADANIENT","2,565.00","2,599.95","2,535.15","2,537.45","2,554.00","16.55","0.65","1,261,937","3,236,628,636.97","4,190.00","1,017.45","22.34","37.56"
"HCLTECH","1,115.00","1,126.95","1,114.00","1,116.00","1,123.05","7.05","0.63","143,394","160,942,557.72","1,156.65","877.35","14.53","5.94"
"APOLLOHOSP","4,590.00","4,599.80","4,551.25","4,568.15","4,597.00","28.85","0.63","35,233","161,493,626.47","4,901.95","3,361.55","29.62","3.43"
"INFY","1,306.00","1,314.80","1,306.00","1,304.35","1,311.95","7.60","0.58","685,288","898,995,062.80","1,672.60","1,185.30","-7.52","6.49"
"M&M","1,290.00","1,290.00","1,278.05","1,277.80","1,284.80","7.00","0.55","334,390","429,196,252.80","1,397.00","914.80","37.63","5.62"
"DIVISLAB","3,435.65","3,456.00","3,425.20","3,435.65","3,454.35","18.70","0.54","98,399","338,862,540.24","3,973.90","2,730.00","-2.38","6.48"
"TITAN","2,707.95","2,724.70","2,699.15","2,707.95","2,721.00","13.05","0.48","77,970","211,594,986.00","2,802.10","1,825.05","28.13","2.84"
"BAJFINANCE","6,846.60","6,894.00","6,841.20","6,841.15","6,874.00","32.85","0.48","136,246","936,557,728.92","7,778.00","5,220.00","17.40","12.61"
"SBILIFE","1,175.00","1,187.35","1,173.15","1,177.35","1,183.00","5.65","0.48","62,160","73,531,550.40","1,340.35","1,051.55","7.42","6.47"
"HINDALCO","405.10","406.75","403.10","404.25","406.00","1.75","0.43","605,715","245,605,318.20","504.00","308.95","1.86","-5.94"
"KOTAKBANK","1,949.95","1,949.95","1,927.60","1,929.95","1,938.00","8.05","0.42","541,025","1,047,765,245.75","1,997.55","1,631.00","1.17","2.15"
"LT","2,209.00","2,216.35","2,206.05","2,204.70","2,213.30","8.60","0.39","163,596","361,679,672.76","2,416.35","1,456.35","40.00","-1.92"
"ITC","443.40","443.40","439.50","441.15","442.85","1.70","0.39","2,728,404","1,207,045,929.60","443.40","258.55","61.77","7.19"
"TATASTEEL","105.00","105.65","105.00","104.85","105.20","0.35","0.33","2,539,898","267,451,259.40","124.30","82.70","-89.51","-2.06"
"COALINDIA","239.80","240.95","239.10","240.05","240.75","0.70","0.29","547,218","131,447,235.78","263.40","174.75","32.84","4.26"
"TATAMOTORS","514.90","517.30","512.20","514.85","516.20","1.35","0.26","1,600,027","823,997,904.73","537.15","375.20","23.47","8.72"
"BPCL","365.00","367.00","363.10","363.30","364.10","0.80","0.22","244,482","89,125,913.10","374.90","288.05","11.39","4.55"
"HDFCLIFE","572.00","575.50","569.90","572.05","573.10","1.05","0.18","279,607","160,265,140.26","620.60","457.80","0.52","7.98"
"DRREDDY","4,505.05","4,522.50","4,499.95","4,503.95","4,511.65","7.70","0.17","20,523","92,578,432.08","4,989.00","3,997.00","4.56","-6.81"
"ASIANPAINT","3,123.00","3,136.95","3,113.00","3,123.55","3,128.00","4.45","0.14","80,340","251,158,104.60","3,582.90","2,560.00","10.06","7.78"
"TCS","3,293.50","3,308.05","3,291.00","3,293.50","3,296.25","2.75","0.08","285,218","940,694,598.88","3,575.00","2,926.10","3.97","3.70"
"NESTLEIND","21,484.95","21,548.00","21,370.00","21,474.90","21,478.85","3.95","0.02","7,785","166,897,399.05","22,300.00","16,435.00","24.25","3.92"
"HEROMOTOCO","2,734.45","2,743.95","2,713.60","2,732.80","2,729.15","-3.65","-0.13","29,054","79,228,805.30","2,938.60","2,246.00","5.32","9.41"
"EICHERMOT","3,649.00","3,649.05","3,610.00","3,651.50","3,645.00","-6.50","-0.18","103,041","373,849,234.56","3,889.65","2,585.05","35.94","13.47"
"INDUSINDBK","1,256.45","1,264.25","1,255.90","1,263.40","1,261.05","-2.35","-0.19","262,437","330,581,391.42","1,275.90","763.20","41.42","12.63"
"BAJAJ-AUTO","4,612.35","4,645.25","4,612.35","4,644.00","4,635.00","-9.00","-0.19","40,620","187,977,986.40","4,651.40","3,461.25","22.47","6.94"
"CIPLA","945.90","946.00","940.50","945.45","943.45","-2.00","-0.21","170,667","161,034,554.52","1,185.25","852.00","-2.72","3.94"
"ADANIPORTS","729.10","730.35","722.00","724.50","722.95","-1.55","-0.21","1,108,938","804,290,552.64","987.85","395.10","2.34","7.90"
"JSWSTEEL","696.65","698.80","694.15","696.65","695.10","-1.55","-0.22","122,105","85,062,006.15","777.50","520.05","31.83","-3.91"
"SUNPHARMA","943.95","943.95","937.00","945.00","942.50","-2.50","-0.26","206,292","193,966,053.00","1,072.15","789.90","3.71","-2.83"
"HDFC","2,643.60","2,656.80","2,631.05","2,647.40","2,639.00","-8.40","-0.32","950,800","2,508,685,800.00","2,867.00","2,026.00","18.32","-3.98"
"ICICIBANK","939.80","939.80","936.00","939.85","936.85","-3.00","-0.32","975,997","915,231,426.78","958.85","669.95","31.75","2.89"
"HDFCBANK","1,619.00","1,619.00","1,602.25","1,609.60","1,603.40","-6.20","-0.39","1,285,470","2,067,935,589.00","1,734.45","1,271.60","21.13","-3.28"
"AXISBANK","918.00","919.70","915.00","921.05","917.30","-3.75","-0.41","920,350","843,602,013.50","970.00","618.25","38.50","4.86"
"POWERGRID","237.85","237.90","235.80","237.95","236.95","-1.00","-0.42","608,911","144,056,164.38","249.60","186.35","5.83","2.17"
"BHARTIARTL","827.90","829.35","818.50","822.70","818.60","-4.10","-0.50","869,105","715,551,528.60","860.55","628.75","19.54","6.48"
"GRASIM","1,701.90","1,704.20","1,681.10","1,701.35","1,686.15","-15.20","-0.89","293,732","495,182,217.56","1,839.50","1,276.60","23.69","0.86"
"ONGC","166.05","167.40","162.80","166.00","163.30","-2.70","-1.63","2,336,778","385,731,944.46","169.00","119.85","8.78","3.33"
