"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 20-May-2022","30 D % CHNG 
 21-Apr-2023"
"NIFTY MIDCAP 100","33,199.80","33,314.70","33,180.00","33,157.10","33,310.85","153.75","0.46","120,625,809","19,553,667,738.96","33,188.40","25,048.15","23.17","6.34"
"SONACOMS","532.90","542.80","530.05","528.35","542.35","14.00","2.65","774,785","417,981,011.80","609.00","398.05","-0.93","14.95"
"MPHASIS","1,947.55","1,987.00","1,944.00","1,933.90","1,985.00","51.10","2.64","169,784","334,010,969.68","2,700.00","1,660.05","-17.52","9.89"
"MAXHEALTH","540.45","550.65","535.00","536.70","548.95","12.25","2.28","881,104","480,087,136.48","564.75","344.40","50.15","21.95"
"CUMMINSIND","1,650.00","1,694.35","1,648.95","1,650.15","1,687.55","37.40","2.27","401,180","673,340,512.00","1,714.90","950.85","63.12","6.20"
"PERSISTENT","5,066.00","5,160.00","5,046.50","5,026.50","5,140.00","113.50","2.26","242,966","1,245,939,366.64","5,160.00","3,092.05","47.27","12.39"
"TATAELXSI","7,300.00","7,431.45","7,288.05","7,261.00","7,405.80","144.80","1.99","166,253","1,229,286,319.71","10,760.00","5,709.05","-10.59","15.78"
"GUJGASLTD","490.50","500.90","489.55","488.75","498.25","9.50","1.94","335,431","166,397,256.17","577.95","403.55","-9.24","6.54"
"IDFCFIRSTB","68.35","69.65","68.10","68.00","69.25","1.25","1.84","11,588,852","799,399,010.96","69.65","28.95","100.59","15.94"
"ZEEL","175.55","182.75","175.55","178.85","181.95","3.10","1.73","5,880,375","1,059,937,593.75","287.00","175.55","-21.93","-4.49"
"DEVYANI","183.10","185.95","182.95","183.10","185.80","2.70","1.47","309,003","56,961,613.02","215.00","133.95","25.89","13.27"
"COFORGE","4,319.80","4,364.00","4,305.00","4,297.25","4,360.00","62.75","1.46","67,321","292,387,220.78","4,512.00","3,210.05","24.42","9.35"
"IDEA","7.15","7.20","7.00","7.00","7.10","0.10","1.43","23,426,861","166,564,981.71","10.20","5.70","-20.00","11.11"
"LTTS","3,818.00","3,878.90","3,811.30","3,801.50","3,854.00","52.50","1.38","94,897","365,651,426.58","4,318.70","2,924.20","13.26","10.97"
"MSUMI","56.00","56.80","55.90","55.90","56.65","0.75","1.34","536,182","30,267,473.90","71.15","42.29","-7.60","8.97"
"INDHOTEL","381.80","386.00","381.10","380.60","385.40","4.80","1.26","844,798","324,360,192.10","389.40","207.25","71.67","12.32"
"ZYDUSLIFE","508.00","512.75","504.90","505.70","512.00","6.30","1.25","146,141","74,583,059.35","530.85","329.80","38.04","-2.50"
"BANKINDIA","72.80","73.70","72.60","72.50","73.35","0.85","1.17","1,488,702","109,077,195.54","103.50","40.40","58.99","-9.43"
"APOLLOTYRE","389.80","393.60","389.20","389.20","393.60","4.40","1.13","434,221","170,123,445.59","393.60","167.10","82.89","17.94"
"LALPATHLAB","2,025.00","2,047.85","2,021.00","2,025.55","2,047.85","22.30","1.10","10,301","20,997,146.36","2,750.00","1,762.05","10.33","4.87"
"CGPOWER","375.10","379.00","373.30","373.25","377.35","4.10","1.10","430,562","162,153,954.82","379.00","162.00","125.05","21.92"
"PNB","49.75","50.20","49.70","49.65","50.15","0.50","1.01","4,769,429","238,519,144.29","62.00","28.05","66.61","-0.30"
"DIXON","3,609.95","3,637.00","3,570.05","3,597.85","3,633.25","35.40","0.98","183,065","659,909,050.70","4,670.00","2,553.00","7.55","25.68"
"SYNGENE","712.70","721.00","710.85","712.75","719.55","6.80","0.95","123,574","88,681,645.36","721.00","510.05","35.00","13.90"
"UNIONBANK","69.60","70.45","69.45","69.30","69.95","0.65","0.94","2,084,653","145,946,556.53","96.40","34.00","98.57","-6.16"
"TIINDIA","2,705.00","2,766.80","2,705.00","2,724.25","2,746.30","22.05","0.81","20,999","57,635,955.30","3,046.20","1,457.60","75.49","8.75"
"ASTRAL","1,764.95","1,769.00","1,748.05","1,751.95","1,766.00","14.05","0.80","107,914","189,811,013.74","1,991.15","1,186.19","6.49","26.01"
"MFSL","679.00","684.00","676.15","675.45","680.50","5.05","0.75","54,243","36,858,118.50","885.00","599.10","-7.53","9.19"
"MRF","96,735.00","97,500.00","96,601.15","96,727.35","97,444.85","717.50","0.74","1,209","117,457,058.16","99,933.50","65,878.35","29.27","11.74"
"TATACHEM","960.00","964.20","955.00","956.70","963.60","6.90","0.72","217,548","208,695,971.88","1,214.90","773.35","3.92","1.30"
"PAYTM","716.30","720.00","714.35","713.55","718.50","4.95","0.69","312,545","224,251,037.50","844.70","438.35","20.11","10.12"
"NMDC","104.50","105.25","104.35","104.30","105.00","0.70","0.67","891,341","93,466,017.26","137.45","92.25","-13.84","-4.14"
"UBL","1,448.90","1,454.45","1,447.00","1,442.05","1,451.65","9.60","0.67","34,098","49,466,991.54","1,806.45","1,353.50","0.84","-0.77"
"FEDERALBNK","123.50","124.25","123.40","123.25","124.05","0.80","0.65","1,421,222","176,188,891.34","143.40","82.50","47.60","-7.61"
"HINDZINC","307.85","307.85","305.50","304.90","306.85","1.95","0.64","63,291","19,406,286.42","383.00","242.05","0.13","-3.77"
"ABCAPITAL","165.00","167.40","164.80","164.90","165.95","1.05","0.64","345,203","57,369,286.57","175.30","85.60","72.40","2.71"
"FORTIS","286.50","288.65","282.65","286.25","288.00","1.75","0.61","291,556","83,527,878.44","325.00","219.75","18.38","8.35"
"INDIANB","278.10","281.85","278.10","277.95","279.55","1.60","0.58","331,299","92,601,383.49","335.00","140.00","74.21","-12.35"
"ALKEM","3,329.10","3,347.50","3,309.95","3,324.40","3,342.95","18.55","0.56","6,946","23,128,721.34","3,625.00","2,855.00","12.00","-2.84"
"TVSMOTOR","1,278.05","1,292.00","1,274.00","1,283.10","1,290.00","6.90","0.54","237,130","305,515,920.70","1,292.00","693.80","82.74","15.44"
"BATAINDIA","1,571.85","1,574.00","1,560.00","1,560.80","1,568.40","7.60","0.49","45,425","71,164,622.00","2,004.90","1,381.05","-10.59","6.06"
"TATACOMM","1,266.00","1,268.65","1,257.80","1,260.75","1,266.85","6.10","0.48","25,899","32,733,746.10","1,430.60","856.25","34.22","1.98"
"ASHOKLEY","146.20","146.50","144.90","145.50","146.20","0.70","0.48","1,487,089","216,475,545.73","169.45","128.20","4.64","3.82"
"PFC","171.80","173.00","171.05","170.60","171.40","0.80","0.47","987,628","169,921,397.40","177.45","97.10","59.44","5.18"
"BHARATFORG","758.20","762.15","756.00","757.45","761.00","3.55","0.47","43,021","32,627,126.40","919.45","615.00","13.87","-3.42"
"GODREJPROP","1,369.70","1,377.05","1,361.05","1,365.60","1,372.00","6.40","0.47","71,831","98,351,723.51","1,529.95","1,005.00","7.63","5.74"
"TRIDENT","32.70","32.90","32.10","32.55","32.70","0.15","0.46","3,570,293","116,570,066.45","49.30","25.05","-28.62","6.37"
"OFSS","3,550.15","3,581.85","3,550.15","3,565.70","3,581.80","16.10","0.45","26,208","93,524,820.48","3,722.50","2,883.25","15.66","4.29"
"ESCORTS","2,054.55","2,060.45","2,040.00","2,047.60","2,056.35","8.75","0.43","8,196","16,819,503.36","2,358.35","1,306.70","30.13","4.17"
"ADANIPOWER","261.55","263.80","259.10","259.15","260.20","1.05","0.41","1,103,438","288,273,177.50","432.50","132.40","-13.43","26.02"
"ABFRL","199.50","200.85","198.70","199.05","199.85","0.80","0.40","722,020","144,346,238.40","359.50","184.40","-22.76","-9.81"
"HONAUT","39,999.00","40,350.00","39,961.05","39,971.95","40,127.20","155.25","0.39","372","14,927,563.92","44,347.15","30,185.35","29.70","11.94"
"LUPIN","778.85","782.25","775.85","778.85","781.70","2.85","0.37","49,176","38,347,936.56","800.00","583.00","31.95","10.40"
"ABBOTINDIA","21,940.00","21,940.00","21,750.05","21,840.90","21,915.15","74.25","0.34","1,041","22,717,659.72","23,140.00","17,325.00","20.96","-2.07"
"IGL","482.50","482.50","475.00","480.25","481.85","1.60","0.33","131,481","63,235,786.95","515.70","335.35","29.92","-2.92"
"JSWENERGY","257.55","261.50","257.55","258.70","259.55","0.85","0.33","181,934","47,308,298.02","369.00","182.05","-5.41","-0.46"
