"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 20-May-2022","30 D % CHNG 
 21-Apr-2023"
"NIFTY NEXT 50","41,225.50","41,322.55","41,186.35","41,213.30","41,321.65","108.35","0.26","52,226,459","17,129,521,501.53","45,509.70","35,018.20","10.59","6.39"
"VBL","1,630.00","1,665.00","1,625.00","1,617.65","1,657.35","39.70","2.45","228,204","375,288,324.12","1,665.00","696.27","52.10","12.55"
"CANBK","300.90","305.40","300.15","299.65","304.75","5.10","1.70","1,642,063","498,431,803.02","341.70","171.75","60.89","-2.62"
"GODREJCP","1,032.20","1,049.00","1,030.20","1,029.40","1,044.45","15.05","1.46","391,262","408,199,731.98","1,049.00","708.50","36.37","6.87"
"ICICIGI","1,082.00","1,097.00","1,079.80","1,080.30","1,095.45","15.15","1.40","64,760","70,367,568.40","1,369.00","1,049.05","-13.54","0.61"
"HDFCAMC","1,767.95","1,788.80","1,765.05","1,764.05","1,788.70","24.65","1.40","56,862","101,217,771.72","2,314.65","1,589.50","3.50","-0.09"
"LTIM","4,925.00","4,989.00","4,925.00","4,910.55","4,977.80","67.25","1.37","78,403","389,259,134.55","5,107.75","4,121.00","-","17.30"
"MARICO","528.40","538.60","528.40","528.40","535.20","6.80","1.29","338,258","181,052,594.50","554.35","462.70","1.26","7.89"
"ABB","3,955.00","4,012.30","3,950.00","3,941.95","3,989.85","47.90","1.22","81,409","324,808,884.56","4,012.30","2,120.00","78.01","18.16"
"MCDOWELL-N","838.50","849.80","838.10","841.30","849.25","7.95","0.94","126,293","106,799,675.45","951.80","712.00","12.76","9.10"
"BANKBARODA","182.00","183.75","181.45","181.80","183.45","1.65","0.91","3,311,634","604,969,299.12","197.20","89.85","93.61","-1.25"
"IOC","89.20","90.30","89.00","89.15","89.95","0.80","0.90","2,637,584","237,039,674.08","90.30","65.20","-22.34","13.64"
"DABUR","529.55","534.65","528.50","530.15","534.65","4.50","0.85","122,877","65,417,257.26","610.75","482.25","7.22","0.71"
"HAL","3,029.80","3,069.90","3,023.75","3,014.70","3,040.25","25.55","0.85","266,613","812,215,175.46","3,168.80","1,700.00","72.72","6.74"
"TATAPOWER","212.25","212.95","210.85","210.80","212.45","1.65","0.78","1,574,007","333,673,743.93","251.15","182.35","-4.57","6.65"
"ICICIPRULI","438.00","441.75","437.50","438.25","441.65","3.40","0.78","117,020","51,509,863.60","608.75","380.70","-15.83","0.85"
"SRF","2,471.00","2,492.65","2,465.00","2,473.55","2,492.65","19.10","0.77","23,082","57,249,361.32","2,865.00","2,002.20","10.63","-0.74"
