"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 20-May-2022","30 D % CHNG 
 21-Apr-2023"
"NIFTY SMALLCAP 100","9,985.15","10,001.35","9,967.65","9,957.95","9,992.05","34.10","0.34","89,187,197","9,615,137,386.23","10,180.55","7,904.90","15.27","5.12"
"MEDPLUS","738.00","773.00","730.35","689.75","768.50","78.75","11.42","657,774","500,677,835.58","945.00","548.25","-22.72","-6.87"
"PRAJIND","380.00","386.90","372.50","356.90","383.05","26.15","7.33","2,249,290","857,001,982.90","461.60","289.05","14.63","1.23"
"TRIVENI","275.00","281.40","270.10","264.75","274.15","9.40","3.55","892,565","247,517,200.15","311.40","211.05","0.02","-8.71"
"PPLPHARMA","78.45","80.95","77.95","78.50","80.50","2.00","2.55","4,108,936","327,276,752.40","200.00","63.10","-","11.11"
"RVNL","115.65","118.20","114.80","114.85","117.40","2.55","2.22","4,778,583","558,950,853.51","144.40","29.05","271.68","9.80"
"INTELLECT","566.00","576.65","565.05","564.95","575.65","10.70","1.89","275,588","157,517,833.16","719.00","388.65","-4.95","30.40"
"GMMPFAUDLR","1,521.00","1,547.50","1,485.00","1,473.80","1,501.25","27.45","1.86","194,836","296,185,790.48","2,110.00","1,256.67","-67.37","1.16"
"HINDCOPPER","103.00","104.80","102.95","102.85","104.75","1.90","1.85","771,488","80,242,466.88","132.35","81.20","8.38","3.78"
"CYIENT","1,315.00","1,345.75","1,311.05","1,305.05","1,329.15","24.10","1.85","192,485","256,973,249.55","1,416.00","720.00","74.80","12.74"
"FSL","130.65","132.90","130.60","130.05","132.45","2.40","1.85","504,343","66,532,928.56","136.65","93.00","27.75","12.50"
"REDINGTON","170.90","173.00","170.10","169.90","172.85","2.95","1.74","333,400","57,268,118.00","202.30","109.40","25.81","0.53"
"METROPOLIS","1,262.80","1,281.85","1,253.15","1,253.95","1,275.55","21.60","1.72","48,864","62,103,700.80","1,791.20","1,171.35","-20.27","2.31"
"BORORENEW","484.70","493.90","484.65","483.60","491.45","7.85","1.62","90,127","44,228,022.71","710.00","380.00","-18.11","-5.74"
"NATIONALUM","80.60","82.20","80.60","80.55","81.85","1.30","1.61","2,277,224","185,593,756.00","97.40","66.95","-14.08","-1.59"
"RITES","387.00","394.40","385.70","385.25","391.20","5.95","1.54","209,265","82,000,490.25","433.00","226.20","54.10","1.35"
"RENUKA","43.45","44.35","43.45","43.40","44.05","0.65","1.50","1,332,732","58,493,607.48","68.75","38.90","3.70","-7.95"
"BIKAJI","383.80","394.35","382.45","381.20","386.75","5.55","1.46","182,415","70,818,975.45","447.40","303.00","-","5.73"
"FACT","298.00","304.75","297.30","296.40","300.70","4.30","1.45","95,479","28,806,969.09","384.00","82.35","144.25","-14.45"
"PNBHOUSING","463.70","469.20","462.00","460.50","466.65","6.15","1.34","77,596","36,103,090.92","545.67","263.33","42.88","3.55"
"IOB","23.70","24.10","23.60","23.70","24.00","0.30","1.27","1,385,748","33,147,092.16","36.70","15.25","48.59","-2.67"
"JSL","289.80","292.95","288.65","288.65","292.15","3.50","1.21","44,557","12,994,603.48","329.00","95.05","154.99","6.83"
"HFCL","63.60","64.20","63.50","63.40","64.15","0.75","1.18","480,975","30,700,634.25","88.80","51.55","3.26","0.79"
"TV18BRDCST","34.55","35.30","34.50","34.40","34.80","0.40","1.16","2,571,014","89,702,678.46","47.25","27.35","-9.35","18.83"
"BSOFT","337.75","340.00","335.20","335.40","339.15","3.75","1.12","754,537","254,520,420.84","390.50","250.25","-2.29","26.45"
"MAHABANK","28.95","29.35","28.80","28.90","29.20","0.30","1.04","1,834,196","53,430,129.48","36.25","15.00","85.85","-3.34"
"EASEMYTRIP","46.85","47.35","46.85","46.70","47.15","0.45","0.96","532,012","25,084,365.80","461.95","39.70","-89.33","3.66"
"BIRLACORPN","995.65","1,005.75","995.65","995.00","1,004.45","9.45","0.95","11,289","11,304,014.37","1,143.45","823.00","4.13","9.42"
"INDIAMART","5,466.00","5,548.85","5,456.65","5,498.55","5,548.85","50.30","0.91","15,264","84,138,373.44","6,097.00","3,676.00","33.29","3.39"
"IEX","156.05","159.40","155.70","155.50","156.85","1.35","0.87","1,176,348","185,310,100.44","197.60","125.80","-16.08","2.17"
"CAMPUS","355.55","358.65","355.55","355.15","358.20","3.05","0.86","91,988","32,868,232.28","639.30","297.10","4.56","-0.25"
"MAZDOCK","757.90","765.65","753.10","754.10","760.50","6.40","0.85","161,227","122,743,727.37","936.40","229.45","173.32","1.88"
"PVRINOX","1,352.55","1,375.00","1,352.55","1,361.30","1,372.50","11.20","0.82","51,970","70,992,059.40","2,214.85","1,336.40","-","-"
"KALYANKJIL","105.90","106.70","105.55","105.20","106.05","0.85","0.81","227,957","24,154,323.72","134.20","55.05","78.91","1.99"
"ANGELONE","1,240.00","1,244.00","1,235.05","1,233.55","1,243.50","9.95","0.81","34,412","42,650,576.92","1,674.00","999.00","-6.12","0.72"
"KEI","1,996.90","2,008.00","1,980.00","1,988.60","2,004.45","15.85","0.80","17,815","35,552,504.75","2,097.00","1,098.80","78.51","11.13"
"CANFINHOME","673.00","683.00","673.00","677.25","682.50","5.25","0.78","57,827","39,322,360.00","698.55","406.65","49.83","15.94"
"EXIDEIND","208.60","209.80","208.40","208.20","209.80","1.60","0.77","255,372","53,375,301.72","210.45","130.25","50.76","9.03"
"INDIACEM","185.10","186.65","184.75","185.00","186.40","1.40","0.76","372,349","69,148,932.79","298.95","145.45","13.46","2.75"
"CENTRALBK","26.55","26.85","26.40","26.45","26.65","0.20","0.76","1,259,722","33,609,382.96","41.80","16.25","57.44","-3.64"
"IDFC","95.05","95.65","94.40","94.45","95.15","0.70","0.74","2,769,792","263,462,615.04","95.65","42.20","102.03","13.18"
"CUB","138.45","139.00","137.45","137.45","138.45","1.00","0.73","267,144","36,940,672.32","205.00","120.35","8.91","3.15"
"ANURAS","1,198.00","1,211.55","1,198.00","1,203.75","1,210.80","7.05","0.59","4,883","5,898,419.85","1,234.00","546.75","64.37","7.15"
"UCOBANK","26.30","26.60","26.15","26.25","26.40","0.15","0.57","1,249,341","32,982,602.40","38.15","10.55","133.33","-5.41"
"TEJASNET","678.00","684.30","673.70","674.90","678.75","3.85","0.57","291,788","198,436,265.16","773.00","385.10","67.84","7.07"
"JKLAKSHMI","691.00","701.45","690.05","691.30","695.00","3.70","0.54","31,147","21,658,377.92","896.90","382.80","55.09","-12.95"
"MGL","1,033.45","1,047.20","1,031.50","1,033.05","1,038.30","5.25","0.51","76,570","79,579,201.00","1,103.00","665.80","42.53","2.23"
"BSE","534.25","538.00","532.50","534.25","536.95","2.70","0.51","65,110","34,897,657.80","797.75","406.20","-22.26","7.99"
"RBLBANK","147.40","147.80","146.45","147.05","147.75","0.70","0.48","917,359","135,026,071.21","189.30","74.15","36.35","-3.92"
