symbol,open,high,low,close,volume,SMA5,SMA25,RSI,ADX,VAR,MACOV,CORR
NSE:SONACOMS,540.45001,552.59998,535.0,536.5,3976323.0,533.15,513.78,36.73,57.14,329.7464707239281,0.8466100959717551,0.865876502513214
NSE:MPHASIS,1982.2,2000.0,1960.55,1967.85,379011.0,1953.7,1866.81,52.76,39.8,2326.751967105433,0.9800626251014123,0.8599564575584356
NSE:MAXHEALTH,542.40002,548.0,534.04999,536.90002,2280303.0,545.06,499.6,50.08,53.06,930.8824865106864,0.9799353587064334,0.6921823219686956
NSE:CUMMINSIND,1755.8,1755.8,1730.0,1744.05,582128.0,1681.85,1626.14,60.93,25.51,1771.9214210526277,0.8055869936187754,0.1665339616594164
NSE:PERSISTENT,5133.6499,5133.6499,5031.25,5039.25,246803.0,5014.29,4750.72,51.99,9.18,24852.25162190762,0.972835994516403,0.9061476647302262
NSE:TATAELXSI,7560.0,7619.9502,7451.0,7494.9502,200412.0,7255.71,6895.56,60.91,14.29,57332.312071072745,0.9096040737002964,0.488039112647204
NSE:GUJGASLTD,500.0,502.89999,495.60001,496.89999,967925.0,491.43,476.17,51.72,10.2,136.06043046059753,0.8804274382366105,0.5301488944435309
NSE:IDFCFIRSTB,70.5,70.800003,69.599998,70.150002,30903068.0,68.01,64.63,67.4,32.03,3.8032306952679695,0.9436437298243223,0.32481633971900636
NSE:ZEEL,192.0,194.7,190.35001,192.45,9569139.0,185.28,189.35,54.4,24.02,23.469875039515575,0.9418924011840163,-0.7256432882223088
NSE:DEVYANI,190.10001,190.89999,183.25,185.8,4747824.0,182.66,175.2,56.45,28.57,19.79096009479719,0.9109978296385972,0.4387466070429323
NSE:COFORGE,4510.0,4510.0,4405.0,4420.1499,214720.0,4347.45,4166.9,55.07,14.29,12949.003546015281,0.9124294531006031,0.46153551287601013
NSE:IDEA,7.1,7.3,7.05,7.1,86663626.0,7.01,6.92,48.28,19.45,0.01638815789473538,0.6880341692729481,0.46628732473657203
NSE:LTTS,3924.55,3933.45,3850.0,3866.8,139377.0,3847.34,3764.4,42.47,13.27,4032.2799578973927,0.9090070891222675,0.655828229220545
NSE:MSUMI,56.599998,57.700001,56.5,56.950001,4927537.0,56.15,54.44,33.06,25.51,1.6770738052650933,0.9249032121746712,0.5811468024746521
NSE:INDHOTEL,385.0,386.95001,377.5,380.0,4011007.0,378.16,361.62,46.21,25.51,96.50691307899696,0.9094026774394203,-0.6343304652605309
NSE:ZYDUSLIFE,508.95001,514.0,507.04999,512.04999,489946.0,507.48,514.56,40.3,17.35,65.43256595802495,-0.5341903852590048,0.7142431408329245
NSE:BANKINDIA,75.400002,75.800003,74.699997,75.150002,5170603.0,74.09,78.79,21.83,27.55,17.017434298427712,-0.35945527200786614,0.8287453678008585
NSE:APOLLOTYRE,393.29999,395.95001,390.10001,392.29999,1654415.0,387.38,364.77,59.76,37.76,143.84996136852055,0.8727353686888317,-0.44450411549167085
NSE:LALPATHLAB,2025.95,2049.0,2017.0,2045.7,86962.0,2033.82,1975.13,62.47,26.53,2182.742394736765,0.9304387486235831,0.47707711874797265
NSE:CGPOWER,388.89999,395.29999,378.0,383.75,2939627.0,373.14,331.22,81.68,60.2,636.8124293947878,0.9967825099018863,0.5983521636426578
NSE:PNB,50.650002,51.349998,50.299999,50.799999,33668195.0,50.26,50.31,39.68,11.22,2.4934452436858,-0.6643236811718787,-0.34322006456034676
NSE:DIXON,3675.1001,3739.5,3671.55,3717.0,556771.0,3553.2,3051.62,86.76,24.49,85843.04924934468,0.9915642768065768,0.8196206086568942
NSE:SYNGENE,721.79999,724.5,708.40002,714.5,336097.0,710.67,688.6,60.79,39.8,62.2978924211634,0.799940703815025,-0.7477247529791702
NSE:UNIONBANK,70.699997,70.800003,70.050003,70.300003,5386723.0,69.65,72.31,26.64,15.31,7.19010780947937,-0.8220997271916113,0.704898720251922
